127.0.0.1 - - [20/Nov/2015:20:38:03 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:38:04 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:39:54 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:44:58 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:44:58 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 200 256807
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:11 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:11 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:20 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:20 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 200 256807
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:38 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:38 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:42 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:42 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:42 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:42 +0200] "GET /sadnessIsReal/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2015:20:45:42 +0200] "GET /sadnessIsReal/Index.html HTTP/1.1" 304 -
