127.0.0.1 - - [18/Dec/2015:16:41:08 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:09 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:09 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:09 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:09 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:09 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 200 411376
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:41:39 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:02 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 200 411376
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:42:11 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:44:39 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:44:39 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:44:39 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:44:39 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:16:44:39 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 404 1015
