127.0.0.1 - - [08/Jan/2016:16:02:47 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 200 411376
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 200 411376
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:02:58 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:37 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:37 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:37 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:37 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:37 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:38 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:03:40 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:05 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2016:16:17:06 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
